ticker,date,close_price,prev_close,daily_return_pct
GOOG,04-04-2023,105.12,104.91,0.2002
GOOG,05-04-2023,104.95,105.12,-0.1617
GOOG,06-04-2023,108.9,104.95,3.7637
GOOG,10-04-2023,106.95,108.9,-1.7906
GOOG,11-04-2023,106.12,106.95,-0.7761
GOOG,12-04-2023,105.22,106.12,-0.8481
GOOG,13-04-2023,108.19,105.22,2.8227
GOOG,14-04-2023,109.46,108.19,1.1739
GOOG,17-04-2023,106.42,109.46,-2.7773
GOOG,18-04-2023,105.12,106.42,-1.2216
GOOG,19-04-2023,105.02,105.12,-0.0951
GOOG,20-04-2023,105.9,105.02,0.8379
GOOG,21-04-2023,105.91,105.9,0.0094
GOOG,24-04-2023,106.78,105.91,0.8215
GOOG,25-04-2023,104.61,106.78,-2.0322
GOOG,26-04-2023,104.45,104.61,-0.1529
GOOG,27-04-2023,108.37,104.45,3.753
GOOG,28-04-2023,108.22,108.37,-0.1384
GOOG,01-05-2023,107.71,108.22,-0.4713
GOOG,02-05-2023,105.98,107.71,-1.6062
GOOG,03-05-2023,106.12,105.98,0.1321
GOOG,04-05-2023,105.21,106.12,-0.8575
GOOG,05-05-2023,106.21,105.21,0.9505
MSFT,07-02-2023,267.56,0,0
MSFT,08-02-2023,266.73,267.56,-0.3102
MSFT,09-02-2023,263.62,266.73,-1.166
MSFT,10-02-2023,263.1,263.62,-0.1973
MSFT,13-02-2023,271.32,263.1,3.1243
MSFT,14-02-2023,272.17,271.32,0.3133
MSFT,15-02-2023,269.32,272.17,-1.0471
MSFT,16-02-2023,262.15,269.32,-2.6623
MSFT,17-02-2023,258.06,262.15,-1.5602
MSFT,21-02-2023,252.67,258.06,-2.0887
MSFT,22-02-2023,251.51,252.67,-0.4591
MSFT,23-02-2023,254.77,251.51,1.2962
MSFT,24-02-2023,249.22,254.77,-2.1784
MSFT,27-02-2023,250.16,249.22,0.3772
MSFT,28-02-2023,249.42,250.16,-0.2958
MSFT,01-03-2023,246.27,249.42,-1.2629
MSFT,02-03-2023,251.11,246.27,1.9653
MSFT,03-03-2023,255.29,251.11,1.6646
MSFT,06-03-2023,256.87,255.29,0.6189
